Paper ID,Sample,Li ratio,Ni ratio,Co ratio,Mn ratio,O ratio,W ratio,Commercial NCM used,Lithium source,Synthesis method,Crystallization method,Crystallization final temperature,Crystallization final duration (hours),Doping,Coating,Active material ratio,Conductive additive ratio,Binder ratio,Electrolyte salt,Electrolyte concentration,EC_ratio,DMC_ratio,EMC_ratio,DEC_ratio,Additive,Loading density (mass loading of NCM),Voltage_min,Voltage_max,Temperature,C-rate 0.05,C-rate 0.1,C-rate 0.2,C-rate 0.5,C-rate 1.0,C-rate 2.0,C-rate 5.0,C-rate 10.0,C-rate 20.0,C-rate 40.0,C-rate 4.0,C-rate 6.0
11,NR0,1,0.33,0.33,0.33,2,0,0,LiNO3,solution combustion,sintering,850,15,none,Carbon-based,89.30952381,4.833333333,5.857142857,LiPF6,1,0.5,0.5,0,0,none,10.21428571,2.5,4.3,25,,155.3,,,123,,45.5,,,,,
11,NR1,1,0.33,0.33,0.33,2,0,0,LiNO3,solution combustion,sintering,850,15,none,Carbon-based,89.30952381,4.833333333,5.857142857,LiPF6,1,0.5,0.5,0,0,RGO,10.21428571,2.5,4.3,25,,154.6,,,,,47,,,,,
11,NR3,1,0.33,0.33,0.33,2,0,0,LiNO3,solution combustion,sintering,850,15,none,Carbon-based,89.30952381,4.833333333,5.857142857,LiPF6,1,0.5,0.5,0,0,RGO,10.21428571,2.5,4.3,25,,166.5,,,,,75.4,,,,,
11,NR5,1,0.33,0.33,0.33,2,0,0,LiNO3,solution combustion,sintering,850,15,none,Carbon-based,89.30952381,4.833333333,5.857142857,LiPF6,1,0.5,0.5,0,0,RGO,10.21428571,2.5,4.3,25,,175,,,,,95.4,,,,,
16,NCM,1.01,0.35,0.32,0.32,2,0,0,LiAc,sol-gel,sintering,850,10,none,none,80,5,15,LiPF6,1,0.5,0.5,0,0,none,5,2.5,4.5,30,,,,175.7,154.8,143.5,101.7,71.5,44.5,13.2,,
16,NCM/C,1.03,0.32,0.33,0.34,2,0,0,LiAc,sol-gel,sintering,850,10,none,Carbon-based,80,5,15,LiPF6,1,0.5,0.5,0,0,none,5,2.5,4.5,30,,,,191.2,178.9,163.5,135.8,109.4,81.9,54.6,,
22,Pristine,1,0.84,0.1,0.06,2,0,0,LiOH,solid-state reaction,sintering,760,15,none,none,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,14.5,3,4.3,25,,204.6,,,,,,,,,,
22,V-0.005,1,0.84,0.1,0.06,2,0,0,LiOH,solid-state reaction,sintering,760,15,V5+,none,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,14.5,3,4.3,25,,204.4,,,,,,,,,,
22,V-0.01,1,0.84,0.1,0.06,2,0,0,LiOH,solid-state reaction,sintering,760,15,V5+,none,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,14.5,3,4.3,25,,203.9,,,,,,,,,,
22,V-0.02,1,0.84,0.1,0.06,2,0,0,LiOH,solid-state reaction,sintering,760,15,V5+,none,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,14.5,3,4.3,25,,200.9,,,,,,,,,,
35,S1bare,1.03,0.85,0.1,0.05,2,0,0,LiOH,co-precipitation,sintering,750,12,none,Boron-based,96.5,1.5,2,LiPF6,1,0.5,0.5,0,0,none,12,3,4.3,25,,,,,,,,,,,,
35,S2wash,1.03,0.85,0.1,0.05,2,0,0,LiOH,co-precipitation,sintering,750,12,none,Boron-based,96.5,1.5,2,LiPF6,1,0.5,0.5,0,0,none,12,3,4.3,25,,,,,,,,,,,,
35,S3coat,1.03,0.85,0.1,0.05,2,0,0,LiOH,co-precipitation,sintering,750,12,none,Boron-based,96.5,1.5,2,LiPF6,1,0.5,0.5,0,0,none,12,3,4.3,25,,,,,,,,,,,,
39,N92,1,0.92,0.04,0.04,2,0,0,LiOH,solid-state reaction,calcination,780,10,none,none,80,10,10,LiPF6,1,0.5,0.5,0,0,none,10.21428571,2.8,4.3,25,,127.7,,191.47,,,64.19,,,,,
39,WN92,1,0.919,0.04,0.04,2,0.001,0,LiOH,solid-state reaction,calcination,780,10,W6+,none,80,10,10,LiPF6,1,0.5,0.5,0,0,none,10.21428571,2.8,4.3,25,,205.67,,190.1,,,159.11,,,,,
40,SC-NCM83,1,0.83,0.11,0.06,2,0,0,Li2CO3,simple blending,calcination,975,9,none,none,90,5,5,LiPF6,1,0.5,0,0,0.5,none,5,3,4.3,25,199,,,,162,,,,,,,
41,NCM-811,1,0.8,0.1,0.1,2,0,1,LiOH,chemical vapor-assisted coating,sintering,550,4,none,none,80,10,10,LiPF6,1,0.3,0.7,0,0,FEC,10.21428571,2.6,4.2,25,,,,,170,,,,,,,
41,g-C3N4@NCM-811,1,0.8,0.1,0.1,2,0,0,LiOH,chemical vapor-assisted coating,sintering,550,4,none,Carbon-based,80,10,10,LiPF6,1,0.3,0.7,0,0,FEC,10.21428571,2.6,4.2,25,,,,,170,,,,,,,
41,g-C3N4NS@NCM-811,1,0.8,0.1,0.1,2,0,0,LiOH,chemical vapor-assisted coating,sintering,550,4,none,Carbon-based,80,10,10,LiPF6,1,0.3,0.7,0,0,FEC,10.21428571,2.6,4.2,25,,,,,,,,,,,,
42,N-NCM,1.11,0.83,0.12,0.05,2,0,1,Li2CO3,co-precipitation,hydrothermal,860,12,none,none,90,6,4,LiPF6,1,0.5,0,0,0.5,none,8,2.75,4.3,25,,215.01,,,,,160.3,,,,,
42,SC-NCM,1.11,0.83,0.12,0.05,2,0,0,Li2CO3,co-precipitation,hydrothermal,860,12,none,none,90,6,4,LiPF6,1,0.5,0,0,0.5,none,8,2.75,4.3,25,,209.7,,,,,166.92,,,,,
44,pristine NCM622,1,0.6,0.2,0.2,2,0,1,not found,sol-gel,sintering,773.6956522,11.7826087,none,none,90,4,6,LiPF6,1,0.3,0,0.7,0,none,9,3,4.55,25,,196.07,,,,,87.1,,,,,
44,polymer/¥ã-Al2O3-coated NCM622,1,0.6,0.2,0.2,2,0,0,not found,sol-gel,sintering,771.3043478,11.49011858,none,Oxide-based,90,4,6,LiPF6,1,0.3,0,0.7,0,VC,9,3,4.55,25,,203.97,,,,,87.1,,,,,
56,pristine NCM,1,0.8,0.1,0.1,2,0,1,LiOH,co-precipitation,sintering,750,15,none,Phosphate-based,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,10.21428571,3,4.3,25,,199.1,,,,,159,,,,169.8,151.3
56,M-NCM,1,0.8,0.1,0.1,2,0,0,LiOH,co-precipitation,sintering,750,15,Mg2+,Phosphate-based,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,10.21428571,3,4.3,25,,203.5,,,,,180,,,,168.9,
