Paper ID,Sample,Li ratio,Ni ratio,Co ratio,Mn ratio,O ratio,W ratio,Commercial NCM used,Lithium source,Synthesis method,Crystallization method,Crystallization final temperature,Crystallization final duration (hours),Doping,Coating,Active material ratio,Conductive additive ratio,Binder ratio,Electrolyte salt,Electrolyte concentration,EC_ratio,DMC_ratio,EMC_ratio,DEC_ratio,Additive,Loading density (mass loading of NCM),Particle size,Particle shape,Particle distribution,Coating layer characteristics,Crystal structure and lattice characteristics,Voltage_min,Voltage_max,Temperature,C-rate 0.05,C-rate 0.1,C-rate 0.2,C-rate 0.5,C-rate 1.0,C-rate 2.0,C-rate 5.0,C-rate 10.0,C-rate 20.0,C-rate 40.0,C-rate 4.0,C-rate 6.0
11,NR0,1,0.33,0.33,0.33,2,0,no,LiNO3,solution combustion,,850,15,none,Carbon-based,,,,LiPF6,1,0.5,0.5,0,0,none,,,,,,,2.5,4.3,25,,155.3,,,123,,45.5,,,,,
11,NR1,1,0.33,0.33,0.33,2,0,no,LiNO3,solution combustion,,850,15,none,Carbon-based,,,,LiPF6,1,0.5,0.5,0,0,RGO,,,,,,,2.5,4.3,25,,154.6,,,,,47,,,,,
11,NR3,1,0.33,0.33,0.33,2,0,no,LiNO3,solution combustion,,850,15,none,Carbon-based,,,,LiPF6,1,0.5,0.5,0,0,RGO,,,,,,,2.5,4.3,25,,166.5,,,,,75.4,,,,,
11,NR5,1,0.33,0.33,0.33,2,0,no,LiNO3,solution combustion,,850,15,none,Carbon-based,,,,LiPF6,1,0.5,0.5,0,0,RGO,,,,,,,2.5,4.3,25,,175,,,,,95.4,,,,,
16,NCM,1.01,0.35,0.32,0.32,2,0,no,LiAc,sol-gel,,850,10,none,none,80,5,15,LiPF6,1,0.5,0.5,0,0,none,5,particle sizes range from 50 to 200 nm,irregular particle shape,particles can be identified clearly,,hexagonal layered structure with a c/a ratio of 4.9771,2.5,4.5,30,,,,175.7,154.8,143.5,101.7,71.5,44.5,13.2,,
16,NCM/C,1.03,0.32,0.33,0.34,2,0,no,LiAc,sol-gel,,850,10,none,Carbon-based,80,5,15,LiPF6,1,0.5,0.5,0,0,none,5,homogeneous distribution with a diameter of about 150 nm,irregular particle shape,particles appear to aggregate together due to carbon packaging,carbon coating with a thickness about 10 nm,"hexagonal layered structure with a c/a ratio of 4.9777, better cation ordering",2.5,4.5,30,,,,191.2,178.9,163.5,135.8,109.4,81.9,54.6,,
22,Pristine,1,0.84,0.1,0.06,2,0,no,LiOH,solid-state reaction,,760,15,none,none,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,14.5,primary particles have similar size (500 nm),spherical morphology,composed of numerous primary particles,,layered hexagonal メ-NaFeO2 structure with space group R-3m,3,4.3,25,,204.6,,,,,,,,,,
22,V-0.005,1,0.84,0.1,0.06,2,0,no,LiOH,solid-state reaction,,760,15,V5+,none,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,14.5,primary particles have similar size (500 nm),spherical morphology,composed of numerous primary particles,,"layered hexagonal メ-NaFeO2 structure with space group R-3m, highest I(003)/(104) ratio of 1.35 indicating low cation mixing",3,4.3,25,,204.4,,,,,,,,,,
22,V-0.01,1,0.84,0.1,0.06,2,0,no,LiOH,solid-state reaction,,760,15,V5+,none,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,14.5,primary particles have similar size (500 nm),spherical morphology,composed of numerous primary particles,,layered hexagonal メ-NaFeO2 structure with space group R-3m,3,4.3,25,,203.9,,,,,,,,,,
22,V-0.02,1,0.84,0.1,0.06,2,0,no,LiOH,solid-state reaction,,760,15,V5+,none,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,14.5,primary particles have similar size (500 nm),spherical morphology,composed of numerous primary particles,,layered hexagonal メ-NaFeO2 structure with space group R-3m,3,4.3,25,,200.9,,,,,,,,,,
35,S1bare,1.03,0.85,0.1,0.05,2,0,no,LiOH,co-precipitation,,750,12,none,Boron-based,96.5,1.5,2,LiPF6,1,0.5,0.5,0,0,none,12,,,,,,3,4.3,25,,,,,,,,,,,,
35,S2wash,1.03,0.85,0.1,0.05,2,0,no,LiOH,co-precipitation,,750,12,none,Boron-based,96.5,1.5,2,LiPF6,1,0.5,0.5,0,0,none,12,,,,,,3,4.3,25,,,,,,,,,,,,
35,S3coat,1.03,0.85,0.1,0.05,2,0,no,LiOH,co-precipitation,,750,12,none,Boron-based,96.5,1.5,2,LiPF6,1,0.5,0.5,0,0,none,12,,,,,,3,4.3,25,,,,,,,,,,,,
39,N92,1,0.92,0.04,0.04,2,0,no,LiOH,solid-state reaction,calcination,780,10,none,none,80,10,10,LiPF6,1,,,,,none,,,,,,,2.8,4.3,25,,127.7,,191.47,,,64.19,,,,,
39,WN92,1,0.919,0.04,0.04,2,0.001,no,LiOH,solid-state reaction,calcination,780,10,W6+,none,80,10,10,LiPF6,1,,,,,none,,,,,,,2.8,4.3,25,,205.67,,190.1,,,159.11,,,,,
40,SC-NCM83,1,0.83,0.11,0.06,2,0,no,Li2CO3,simple blending,calcination,975,9,none,none,90,5,5,LiPF6,1,0.5,0,0,0.5,none,5,average size of 3 レm at 975 ‘C,considerably smaller primary particles compared to synthesis from pelletized precursors,wider inter-particle distance during synthesis in non-compacted precursors,,"single phase Li1-xTM1+xO2 achieved at 900 ‘C, with large crystals",3,4.3,25,199,,,,162,,,,,,,
41,NCM-811,1,0.8,0.1,0.1,2,0,yes,,chemical vapor-assisted coating,,550,4,none,none,80,10,10,LiPF6,1,0.3,0.7,0,0,FEC,,spherical particles with a diameter ranging from 10 to 20 レm,spherical,homogeneous distribution of transition metals and N elements,no obvious surface coating layer,"pure メ-NaFeO2-type crystal structure, space group R3?m",2.6,4.2,25,,,,,170,,,,,,,
41,g-C3N4@NCM-811,1,0.8,0.1,0.1,2,0,no,,chemical vapor-assisted coating,,550,4,none,Carbon-based,80,10,10,LiPF6,1,0.3,0.7,0,0,FEC,,"similar to pristine, with a thin coating layer",spherical with a thin homogenous coating,homogeneous distribution with a thin coating,"thin homogenous coating layer, ´20 to ´70 nm",similar to pristine with slight change in peak intensities,2.6,4.2,25,,,,,170,,,,,,,
41,g-C3N4NS@NCM-811,1,0.8,0.1,0.1,2,0,no,,chemical vapor-assisted coating,,550,4,none,Carbon-based,80,10,10,LiPF6,1,0.3,0.7,0,0,FEC,,"similar to pristine, with a thick coating layer of ´100 nm",spherical with a thick coating,inhomogeneous coating with brighter N signal near the particle edge,"thick coating layer, ´100 nm, inhomogeneous",similar to pristine with slight change in peak intensities,2.6,4.2,25,,,,,,,,,,,,
42,N-NCM,1.11,0.83,0.12,0.05,2,0,yes,Li2CO3,co-precipitation,hydrothermal,860,12,none,none,90,6,4,LiPF6,1,0.5,0,0,0.5,none,8,,,,,,2.75,4.3,25,,215.01,,,,,160.3,,,,,
42,SC-NCM,1.11,0.83,0.12,0.05,2,0,no,Li2CO3,co-precipitation,hydrothermal,860,12,none,none,90,6,4,LiPF6,1,0.5,0,0,0.5,none,8,,,,,,2.75,4.3,25,,209.7,,,,,166.92,,,,,
44,pristine NCM622,1,0.6,0.2,0.2,2,0,yes,,sol-gel,,,,none,none,90,4,6,LiPF6,1,0.3,0,0.7,0,none,9,"The polymer/ャ-Al2O3-coated NCM622 sample showed no visible change to the morphology after calcination, indicating a uniform coating layer.","The SEM image showed that the polymer/ャ-Al2O3-coated NCM622 sample maintained its morphology, suggesting a smooth and continuous layer.","The EDX analysis demonstrated an even distribution of aluminum, indicating a uniform coating of the ャ-Al2O3 layer on the particle surface.","The layer was around 7.8 nm on the particle surface, which was near to the theoretical value, demonstrating the uniform coating layer.","Rietveld refinement of the XRD patterns revealed that the Li/Ni cation disorder for the coated and uncoated NCM622 framework were both around 2.4%, proving that the coating process did not affect the structure of the pristine NCM material.",3,4.55,25,,196.07,,,,,87.1,,,,,
44,polymer/ャ-Al2O3-coated NCM622,1,0.6,0.2,0.2,2,0,no,,sol-gel,,,,none,Oxide-based,90,4,6,LiPF6,1,0.3,0,0.7,0,VC,9,,,,,,3,4.55,25,,203.97,,,,,87.1,,,,,
56,pristine NCM,1,0.8,0.1,0.1,2,0,yes,LiOH,co-precipitation,,750,15,none,Phosphate-based,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,,"spherical secondary particles about 11.7 レm, primary particles with average diameters of 170 to 230 nm",spherical,,,"hexagonal メ-NaFeO2 structure with space group of R3m, well-defined-layered structure",3,4.3,25,,199.1,,,,,159,,,,169.8,151.3
56,M-NCM,1,0.8,0.1,0.1,2,0,no,LiOH,co-precipitation,,750,15,Mg2+,Phosphate-based,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,,"spherical secondary particles about 11.7 レm, primary particles with average diameters of 170 to 230 nm",spherical,"homogenous distribution of Ni, Co, Mn, Mg, and P atoms",thin Li3PO4 coating layer with about 1.8 nm thickness,"hexagonal メ-NaFeO2 structure with space group of R3m, well-defined-layered structure, increased lattice parameters and expanded interlayer spacing",3,4.3,25,,203.5,,,,,180,,,,168.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
